City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
528,Hangu,CN,80.64,clear sky,39.2489,117.7892,Chongli Xuexiang Family Express Inn
540,Canton,CN,84.87,overcast clouds,23.1167,113.25,Shangjiuwan Hotel
544,Itoman,JP,84.97,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
548,Salalah,OM,77.23,light rain,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
551,Irbil,IQ,84.02,clear sky,36.1926,44.0106,Erbil International Hotel
553,Maryville,US,89.55,scattered clouds,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
557,Honiara,SB,84.96,overcast clouds,-9.4333,159.95,Heritage Park Hotel
560,Harper,LR,75.16,broken clouds,4.375,-7.7169,Screensaver
562,Luzhou,CN,81.7,broken clouds,28.8724,105.4405,Shijichun Hotel
564,Lufilufi,WS,83.98,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
570,Ziyang,CN,82.83,overcast clouds,29.2497,117.8547,Wuyuan Great Wall Hotel
572,Buluang,PH,80.29,scattered clouds,13.3068,123.3425,Sacueza Beach Resort
574,Muros,ES,78.84,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
580,Cascais,PT,77.5,broken clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
582,Praia,CV,75.74,scattered clouds,14.9215,-23.5087,LT Aparthotel
584,Kahta,TR,81.77,clear sky,37.7855,38.6237,KommageneİZ Hotel
586,Aswan,EG,87.1,clear sky,24.0934,32.907,Nuba Nile
588,Miaoli,TW,87.94,overcast clouds,24.5643,120.8237,Hsin Hsin Hotel
594,Popondetta,PG,75.83,overcast clouds,-8.7537,148.2534,Timos Transit House
595,Tahta,EG,81.61,clear sky,26.7693,31.5021,فندق الزيات
